People's Republic of China 1347350000
India 1210193422
United States of America 314016000
Indonesia 237641326
Brazil 192376496
Pakistan 180255000
Nigeria 166629000
Bangladesh 152518015
Russia 143117000
Japan 127530000
Mexico 112336538
Philippines 92337852
Vietnam 87840000
Ethiopia 84320987
Egypt 82438000
Germany 81859000
Iran 75149669
Turkey 74724269
Democratic Republic of the Congo 69575000
Thailand 65479453
France 65350000
United Kingdom 62262000
Italy 60813326
South Africa 50586757
Myanmar 48724000
Republic of Korea 48580000
Colombia 46628000
Spain 46185697
Ukraine 45589171
Tanzania 43188000
Kenya 42749000
Argentina 40117096
Poland 38501000
Algeria 37100000
Canada 34873600
Iraq 33330000
Uganda 32939800
Morocco 32626300
Sudan 30894000
Peru 30135875
Uzbekistan 29123400
Malaysia 28334135
Venezuela 27150095
Saudi Arabia 27136977
Nepal 26620809
Afghanistan 25500100
Ghana 24658823
Democratic People's Republic of Korea 24554000
Yemen 24527000
Mozambique 23700715
Taiwan 23261747
Australia 22685957
Syria 21681000
Madagascar 20696070
Angola 20609294
Côte d'Ivoire 20595000
Sri Lanka 20277597
Cameroon 19406100
Romania 19042936
Chile 17402630
Netherlands 16736075
Kazakhstan 16734000
Mali 16319000
Niger 16274738
Malawi 15883000
Burkina Faso 15730977
Guatemala 14713763
Ecuador 14483499
Cambodia 14478000
Zambia 13046508
Zimbabwe 13014000
Senegal 12855153
Chad 11831000
Cuba 11247925
Belgium 10951266
Greece 10787690
Rwanda 10718379
Tunisia 10673800
Portugal 10561614
Czech Republic 10504203
Guinea 10481000
Bolivia 10426154
Haiti 10085214
Hungary 9962000
Somalia 9797000
Sweden 9495113
Belarus 9458500
Dominican Republic 9445281
Benin 9352000
Azerbaijan 9235100
Burundi 8749000
Austria 8452835
Honduras 8385072
United Arab Emirates 8264070
South Sudan 8260490
Switzerland 7952600
Israel 7879500
Tajikistan 7800000
Bulgaria 7364570
Serbia 7120666
Hong Kong 7103700
Papua New Guinea 7014000
Libya 6469000
Laos 6465800
Paraguay 6337127
Jordan 6329100
Togo 6191155
El Salvador 6183000
Sierra Leone 6126000
Nicaragua 5815524
Denmark 5584758
Eritrea 5581000
Kyrgyzstan 5477600
Slovakia 5445324
Finland 5413460
Singapore 5183700
Turkmenistan 5170000
Norway 5026400
Republic of Ireland Northern Ireland 4588252
Central African Republic 4576000
Georgia 4497600
New Zealand 4434180
Costa Rica 4301712
Palestinian territories 4293309
Lebanon 4292000
Croatia 4290612
Liberia 4245000
Republic of the Congo 4140000
Bosnia and Herzegovina 3839737
Puerto Rico 3725789
Kuwait 3582054
Moldova 3559500
Panama 3405813
Mauritania 3378254
Armenia 3268500
Uruguay 3251526
Lithuania 3187700
Mongolia 2844000
Albania 2831741
Oman 2773479
Jamaica 2705827
Namibia 2364000
Lesotho 2217000
Latvia 2070371
Slovenia 2057830
Macedonia 2057284
Botswana 2038228
The Gambia 1825000
Qatar 1699435
Guinea-Bissau 1580000
Gabon 1564000
Trinidad and Tobago 1317714
Estonia 1294236
Mauritius 1286051
Bahrain 1234571
Swaziland 1220000
Timor-Leste 1066409
Djibouti 923000
Fiji 876000
Réunion 865000
Cyprus 838897
Guyana 784894
Comoros 773000
Equatorial Guinea 740000
Bhutan 720679
Montenegro 620029
Macau 557400
Solomon Islands 553935
Western Sahara 567000
Suriname 534000
Luxembourg 511800
Cape Verde 491875
Guadeloupe 465000
Brunei 422700
Malta 417617
Martinique 408000
Bahamas 353658
Iceland 320060
Maldives 317280
Belize 312971
Barbados 274200
French Polynesia 277000
New Caledonia 259000
Vanuatu 252000
French Guiana 243000
Mayotte 217000
Samoa 186340
São Tomé and Príncipe 172000
Saint Lucia 166526
Guam 159358
Curaçao 149679
Saint Vincent and the Grenadines 109000
United States Virgin Islands 106405
Grenada 105000
Tonga 103036
Federated States of Micronesia 102624
Aruba 101484
Kiribati 101000
Jersey 97857
Seychelles 90945
Antigua and Barbuda 86295
Isle of Man 84497
Andorra 78115
Dominica 71293
Bermuda 64237
Guernsey 62431
Greenland 56749
American Samoa 55519
Cayman Islands 55456
Marshall Islands 54305
Saint Kitts and Nevis 54000
Northern Mariana Islands 53883
Faroe Islands 48285
Turks and Caicos Islands 44493
Sint Maarten 37429
Saint Martin 36824
Liechtenstein 36476
Monaco 35881
San Marino 32312
Gibraltar 29441
Åland Islands 28355
British Virgin Islands 24000
Caribbean Netherlands 21133
Palau 21000
Cook Islands 17791
Anguilla 15236
Wallis and Futuna 13000
Nauru 10000
Tuvalu 10000
Saint Barthélemy 8902
Saint Pierre and Miquelon 6000
Montserrat 4922
Saint Helena Ascension and Tristan da Cunha 4000
Falkland Islands 3000
Svalbard and Jan Mayen 2495
Norfolk Island 2302
Christmas Island 1462
Tokelau 1411
Niue 1000
Vatican City 800
Cocos (Keeling) Islands 605
Pitcairn Islands 66
